listing_id,price,borough,neighbourhood_name,accommodates,bedrooms,beds,price_per_accommodate,host_is_superhost,number_of_reviews,review_scores_rating,availability_365
680225,100.0,Queens,Ridgewood,1,1.0,1.0,100.0,f,1,5.0,178
570797,175.0,Manhattan,Hell's Kitchen,2,1.0,1.0,87.5,f,24,4.95,355
571564,82.0,Brooklyn,Crown Heights,2,1.0,1.0,41.0,f,130,4.52,60
573671,92.0,Brooklyn,Bedford-Stuyvesant,1,1.0,1.0,92.0,t,58,4.74,341
576227,230.0,Manhattan,Harlem,3,2.0,3.0,76.66666666666667,f,8,4.88,93
681599,53.0,Brooklyn,Sunset Park,2,1.0,1.0,26.5,t,46,4.5,1
684808,161.0,Manhattan,Murray Hill,2,1.0,1.0,80.5,t,37,4.95,296
684991,159.0,Manhattan,Murray Hill,3,1.0,2.0,53.0,t,27,5.0,77
690603,225.0,Brooklyn,Crown Heights,4,2.0,3.0,56.25,t,87,4.79,365
690934,500.0,Brooklyn,Park Slope,14,5.0,7.0,35.714285714285715,f,283,4.92,365
692137,600.0,Brooklyn,Williamsburg,6,3.0,3.0,100.0,t,82,4.93,334
581488,283.0,Brooklyn,Williamsburg,2,2.0,1.0,141.5,f,34,5.0,346
582372,65.0,Queens,Astoria,2,1.0,2.0,32.5,f,22,4.9,365
587698,670.0,Brooklyn,Gravesend,2,1.0,1.0,335.0,f,111,4.84,365
590903,97.0,Manhattan,Harlem,2,2.0,2.0,48.5,f,59,4.8,335
591135,168.0,Manhattan,Nolita,2,1.0,1.0,84.0,f,156,4.76,365
698132,190.0,Brooklyn,Bedford-Stuyvesant,2,1.0,1.0,95.0,t,396,4.93,338
699472,246.0,Brooklyn,Williamsburg,4,1.0,2.0,61.5,t,611,4.9,250
703971,78.0,Brooklyn,Prospect-Lefferts Gardens,2,1.0,1.0,39.0,f,19,4.28,274
704838,95.0,Queens,Woodside,6,2.0,5.0,15.833333333333334,f,98,4.72,292
705749,78.0,Staten Island,Concord,2,1.0,1.0,39.0,f,65,4.78,362
597544,60.0,Queens,Sunnyside,1,1.0,1.0,60.0,f,30,4.87,331
597668,146.0,Brooklyn,Bedford-Stuyvesant,2,1.0,1.0,73.0,f,20,4.8,177
707396,590.0,Manhattan,East Village,2,2.0,3.0,295.0,t,140,4.87,179
707736,270.0,Manhattan,Harlem,4,2.0,2.0,67.5,f,11,4.82,362
711635,196.0,Manhattan,East Village,2,2.0,2.0,98.0,f,91,4.79,305
712127,58.0,Staten Island,Concord,2,2.0,1.0,29.0,f,29,4.5,358
712260,240.0,Brooklyn,Carroll Gardens,2,2.0,2.0,120.0,f,113,4.83,365
713538,200.0,Brooklyn,Clinton Hill,2,1.0,2.0,100.0,f,580,4.8,84
714028,95.0,Queens,Woodside,6,1.0,4.0,15.833333333333334,f,77,4.81,290
600775,83.0,Brooklyn,Prospect Heights,2,1.0,1.0,41.5,t,101,4.72,297
606269,153.0,Manhattan,Hell's Kitchen,2,0.0,1.0,76.5,t,83,4.93,148
736187,58.0,Brooklyn,Greenpoint,1,1.0,1.0,58.0,f,48,4.21,274
739239,303.0,Manhattan,Upper West Side,3,1.0,2.0,101.0,t,21,5.0,353
739242,230.0,Manhattan,Upper West Side,3,1.0,2.0,76.66666666666667,t,23,4.91,344
740754,100.0,Queens,Astoria,2,1.0,1.0,50.0,f,77,4.92,178
714049,95.0,Queens,Woodside,7,2.0,7.0,13.571428571428571,f,75,4.54,336
715070,250.0,Manhattan,Greenwich Village,2,1.0,1.0,125.0,f,0,,365
721762,88.0,Manhattan,East Village,2,1.0,1.0,44.0,t,98,4.72,3
727512,428.0,Brooklyn,Greenpoint,4,1.0,2.0,107.0,f,135,4.73,68
727547,449.0,Brooklyn,Greenpoint,4,1.0,0.0,112.25,f,191,4.78,60
747316,72.0,Manhattan,Upper West Side,2,1.0,1.0,36.0,t,74,4.84,358
748118,301.0,Brooklyn,Greenpoint,2,2.0,4.0,150.5,f,115,4.87,139
749276,175.0,Brooklyn,Bushwick,6,2.0,5.0,29.166666666666668,f,124,4.5,365
752289,200.0,Manhattan,SoHo,2,2.0,1.0,100.0,f,16,4.81,144
753622,117.0,Manhattan,East Village,1,1.0,1.0,117.0,t,96,4.64,345
753687,150.0,Brooklyn,Bedford-Stuyvesant,2,1.0,1.0,75.0,f,216,4.52,265
825129,142.0,Manhattan,Upper West Side,1,1.0,1.0,142.0,t,199,4.6,255
826685,49.0,Brooklyn,Bedford-Stuyvesant,2,1.0,1.0,24.5,t,94,4.85,318
828553,128.0,Manhattan,East Village,2,1.0,1.0,64.0,f,48,4.52,274
828616,92.0,Brooklyn,Crown Heights,2,1.0,0.0,46.0,f,9,4.78,293
836720,353.0,Queens,College Point,6,3.0,3.0,58.833333333333336,f,65,4.94,273
837503,94.0,Brooklyn,Bedford-Stuyvesant,2,1.0,1.0,47.0,f,305,4.68,159
754353,47.0,Queens,Long Island City,1,1.0,1.0,47.0,t,13,4.77,362
758919,500.0,Manhattan,West Village,2,1.0,1.0,250.0,f,1,5.0,173
759901,77.0,Bronx,Allerton,1,1.0,1.0,77.0,t,49,4.71,270
761835,86.0,Queens,Astoria,2,1.0,1.0,43.0,f,129,4.93,89
762145,388.0,Manhattan,Upper West Side,3,1.0,1.0,129.33333333333334,f,18,4.76,354
838070,110.0,Brooklyn,Sunset Park,2,1.0,1.0,55.0,t,80,4.8,168
840731,850.0,Manhattan,East Village,4,2.0,2.0,212.5,f,96,4.8,362
844319,123.0,Brooklyn,Flatbush,6,2.0,2.0,20.5,f,288,4.51,307
846854,351.0,Manhattan,Upper West Side,7,2.0,5.0,50.142857142857146,f,109,4.95,157
762426,170.0,Manhattan,Upper West Side,2,1.0,1.0,85.0,f,21,4.75,89
765563,314.0,Queens,Bayside,6,3.0,3.0,52.333333333333336,f,84,4.6,365
765569,170.0,Brooklyn,Downtown Brooklyn,4,2.0,2.0,42.5,t,89,4.89,84
847648,108.0,Manhattan,Harlem,2,1.0,1.0,54.0,f,14,4.93,274
848071,120.0,Manhattan,Chinatown,2,1.0,1.0,60.0,f,97,4.74,122
848718,165.0,Brooklyn,Prospect-Lefferts Gardens,2,1.0,1.0,82.5,t,103,4.91,306
850338,160.0,Brooklyn,Williamsburg,6,1.0,3.0,26.666666666666668,t,275,4.88,242
850517,199.0,Brooklyn,Bushwick,8,3.0,4.0,24.875,t,54,4.61,285
850712,120.0,Manhattan,Greenwich Village,2,0.0,3.0,60.0,f,35,4.63,295
850943,148.0,Brooklyn,Williamsburg,2,1.0,2.0,74.0,f,38,4.66,92
767286,100.0,Manhattan,Upper West Side,1,1.0,1.0,100.0,f,91,4.41,336
773885,158.0,Brooklyn,Bedford-Stuyvesant,4,2.0,2.0,39.5,t,61,4.92,40
774791,52.0,Queens,Flushing,1,1.0,1.0,52.0,f,31,4.61,359
